author,tags,text
"Maurice Switzer,","misattributed-to-abraham-lincoln,misattributed-to-mark-twain,remaining-silent,wisdom","It is better to remain silent at the risk of being thought a fool, than to talk and remove all doubt of it."
"William Shakespeare,",wisdom,"The fool doth think he is wise, but the wise man knows himself to be a fool."
"Oscar Wilde,","inspirational,optimism,perception,pessimism","We are all in the gutter, but some of us are looking at the stars."
Allen Saunders,"fate,life,misattributed-john-lennon,planning,plans",Life is what happens to us while we are making other plans.
Mark Twain,"individuality,majority,minority,pause,reflect,wisdom","Whenever you find yourself on the side of the majority, it is time to reform (or pause and reflect)."
"Neil Gaiman,","books,dragons,fairy-tales,inspirational,paraphrasing-g-k-chesterton","Fairy tales are more than true: not because they tell us that dragons exist, but because they tell us that dragons can be beaten."
Bill Keane,"attributed-no-source,hope,inspirational,misattributed-eleanor-roosevelt,past,present,widely-misattributed","Yesterday is history, tomorrow is a mystery, today is a gift of God, which is why we call it the present."
Eleanor Roosevelt,"attributed-no-source,misattributed-eleanor-roosevelt",A woman is like a tea bag; you never know how strong it is until it's in hot water.
Thomas A. Edison,"edison,failure,inspirational,paraphrased","I have not failed. I've just found 10,000 ways that won't work."
Mark Twain,"aliteracy,attributed-no-source,literacy",The man who does not read has no advantage over the man who cannot read.
Elie Wiesel,"activism,apathy,hate,indifference,inspirational,love,opposite,philosophy","The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference."
Friedrich Nietzsche,"friendship,lack-of-friendship,lack-of-love,love,marriage,unhappy-marriage","It is not a lack of love, but a lack of friendship that makes unhappy marriages."
Gordon A. Eadie,"belief,integrity,misattributed-to-malcolm-x,misattributed-to-rosa-parks",If you don't stand for something you will fall for anything.
"douglas adams,","life,navigation","I may not have gone where I intended to go, but I think I have ended up where I needed to be."
"J.K. Rowling,",mischief,I solemnly swear that I am up to no good.
"Groucho Marx,","animals,books,dogs,friends,humor","Outside of a dog, a book is man's best friend. Inside of a dog it's too dark to read."
"Pablo Neruda,","love,poetry","I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close."
Albert Einstein,"1929,imagination,inspirational,viereck-interview",I am enough of an artist to draw freely upon my imagination. Imagination is more important than knowledge. Knowledge is limited. Imagination encircles the world.
Dr. Seuss,fantasy,"I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living."
"William Shakespeare,","do-wrong,love,trust,wrong","Love all, trust a few, do wrong to none."
Steve Martin,"humor,obvious,simile","A day without sunshine is like, you know, night."
"Neil Gaiman,",love,Have you ever been in love? Horrible isn't it? It makes you so vulnerable. It opens your chest and it opens up your heart and it means that someone can get inside you and mess you up.
Mark Twain,"humor,procrastination",Never put off till tomorrow what may be done day after tomorrow just as well.
"Kent M. Keith,","forgiveness,goodness,happiness,honesty,kindness,misattributed-to-mother-teresa,world",
"Dr. Seuss,",inspirational,You have brains in your head. You have feet in your shoes. You can steer yourself any direction you choose. You're on your own. And you know what you know. And YOU are the one who'll decide where to go...
"George R.R. Martin,","read,readers,reading,reading-books","A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one."
Friedrich Nietzsche,"paraphrased,strength",That which does not kill us makes us stronger.
Lao Tzu,"courage,deeply-loved,love,strength,widely-misattributed","Being deeply loved by someone gives you strength, while loving someone deeply gives you courage."
Ralph Waldo Emerson,happiness,For every minute you are angry you lose sixty seconds of happiness.
George Eliot,"inspirational,source-unknown",It is never too late to be what you might have been.
"J.K. Rowling,","courage,friends","It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends."
Marilyn Monroe,"attributed-no-source,friends,heartbreak,inspirational,life,love,sisters","This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about."
Mother Teresa,attributed-no-source,"If you judge people, you have no time to love them."
"Douglas Adams,","deadlines,humor,humour,work,writing",I love deadlines. I love the whooshing noise they make as they go by.
"Sarah Dessen,",love,"There is never a time or place for true love. It happens accidentally, in a heartbeat, in a single flashing, throbbing moment."
"John Green,",,My thoughts are stars I cannot fathom into constellations.
Albert Einstein,"attributed-no-source,simplicity,understand","If you can't explain it to a six year old, you don't understand it yourself."
"Robert A. Heinlein,","essential,happiness,love",Love is that condition in which the happiness of another person is essential to your own.
Friedrich Nietzsche,"lies,lying,trust","I'm not upset that you lied to me, I'm upset that from now on I can't believe you."
Garrison Keillor,"humor,religion",Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.
"Maya Angelou,","1970,inspirational,stories,writing",There is no greater agony than bearing an untold story inside you.
Jorge Luis Borges,"books,library",I have always imagined that Paradise will be a kind of library.
Pablo Picasso,"art,imagination,inspirational,life",Everything you can imagine is real.
Robert A. Heinlein,"cats,humor,women","Women and cats will do as they please, and men and dogs should relax and get used to the idea."
"Haruki Murakami,","books,thought","If you only read the books that everyone else is reading, you can only think what everyone else is thinking."
Anaïs Nin,,"We don't see things as they are, we see them as we are."
Dr. Seuss,"attributed-no-source,life",Sometimes the questions are complicated and the answers are simple.
Bob Marley,love,"You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there."
"William Nicholson,","misattributed-to-c-s-lewis,reading",We read to know we're not alone.
